DATE,2ssd0.5std,5ssd0.5std,10ssd0.5std,2ssd1.0std,5ssd1.0std,10ssd1.0std,2ssd1.5std,5ssd1.5std,10ssd1.5std,2ssd2.0std,5ssd2.0std,10ssd2.0std
2009-05-22,1.0949627422415318,1.0650735923496346,1.059548579279873,0.8510948940062635,1.0234856739070017,1.1197623577290292,0.8555715206238276,0.9804235618848474,1.1550162898638239,0.9374989049302455,0.927817789065632,1.1393508600572197
2009-05-25,1.0921112767669443,1.0660692044423765,1.061080859466756,0.8488785010531221,1.0257613139488506,1.120671286073358,0.8533434697888697,0.9819957315595864,1.1554139898940479,0.9374989049302455,0.9302720790014289,1.1412723390311583
2009-05-26,1.089727588577314,1.0653343632177774,1.0600745959608637,0.847025702990839,1.0242138851889615,1.1190774387799383,0.8514809262972801,0.978842364141843,1.1525114972941624,0.9374989049302455,0.928803462241503,1.1405110660702007
2009-05-27,1.100723787659754,1.0741405469167111,1.0659238200316283,0.855572851246662,1.028369782505469,1.1249748249407834,0.860073031222043,0.9854897341034619,1.1612835781457678,0.9374989049302455,0.9281283454083836,1.1379096526530876
2009-05-28,1.0997474013001418,1.0725635077567488,1.061752067628687,0.855572851246662,1.0184893062504352,1.1158137165497215,0.860073031222043,0.9788730416038985,1.1577912580075573,0.9374989049302455,0.9202443301223144,1.1278305428830668
2009-05-29,1.1037151703490224,1.072583564371276,1.061488937896852,0.855572851246662,1.0218537312195253,1.117787565525262,0.860073031222043,0.980154440960704,1.1575290704604868,0.9374989049302455,0.924595066013992,1.133497602915169
2009-06-02,1.1043985851844895,1.0743633260609482,1.0612204042599964,0.855572851246662,1.0208305362715298,1.1179938259507753,0.860073031222043,0.9800956163992263,1.1589783651621195,0.9374989049302455,0.922364058123406,1.1317946282928315
2009-06-03,1.1097601959233263,1.0789688138002043,1.0645545689397058,0.855572851246662,1.025624704252757,1.1202077896893867,0.860073031222043,0.9837856042020761,1.1597239062456195,0.9374989049302455,0.9245330329037436,1.1310564077623908
2009-06-04,1.1179472706608113,1.0871703232994159,1.0705942572333864,0.855572851246662,1.0319383519335423,1.1295322863782573,0.860073031222043,0.9893731684087836,1.169101172981975,0.9374989049302455,0.925925001709162,1.1316218194594094
2009-06-05,1.1179472706608113,1.088657344478294,1.0715653239923375,0.855572851246662,1.033455960174659,1.129481565749231,0.860073031222043,0.9894749234884413,1.1682491328417088,0.9374989049302455,0.9260202312699732,1.13148992368029
2009-06-08,1.1167899753495683,1.0892272992103278,1.0727540048178028,0.8625146186723147,1.0361767049342552,1.128701862261292,0.860073031222043,0.9879408539518496,1.1649992428114218,0.9374989049302455,0.9245845410939649,1.1298180337378032
2009-06-09,1.1292357633578578,1.0943459524087777,1.0782097505510435,0.8752452944803581,1.0420971858883392,1.136041824877607,0.860073031222043,0.9875142126066635,1.168995423833099,0.9374989049302455,0.9241852601139622,1.1355487531748687
2009-06-10,1.1292357633578578,1.0943459524087777,1.0779970861281687,0.8752452944803581,1.0450746064194487,1.1379084118643923,0.860073031222043,0.9903356817855398,1.1709161556212737,0.9374989049302455,0.9268257894285735,1.1366836145202075
