DATE,0.5std,1.0std,1.5std,2.0std
2001-03-07,1.0134875233565175,1.0195517375226761,1.0042619485202442,1.0
2001-03-08,1.0108754421107533,1.0195517375226761,1.0033672526229669,1.0
2001-03-09,1.0108754421107533,1.0195517375226761,1.000125349013967,1.0
2001-03-12,1.012849808208626,1.0195517375226761,0.998618864306246,1.0
2001-03-13,1.0108869209834155,1.0195517375226761,1.0033430085840171,0.999325
2001-03-14,1.0114548349839678,1.0195517375226761,1.0010881390212554,0.99707916033547
2001-03-15,1.0069805995969505,1.0195517375226761,1.004611563867573,1.0005884752002991
2001-03-16,1.0061345113831404,1.0188635400998483,1.012853030729791,1.0087969381104152
2001-03-19,1.0146110932062615,1.0271273472298663,1.012853030729791,1.0087969381104152
2001-03-20,1.0206701000350973,1.0264340362704862,1.0121693549340482,1.0087969381104152
2001-03-21,1.0162056873276508,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-03-22,1.0191433292655039,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-03-23,1.0188980377996968,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-03-26,1.0264676636759593,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-03-27,1.0326731021943487,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-03-28,1.0326731021943487,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-03-29,1.0319760478503675,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-03-30,1.0284922389411055,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-04-02,1.0232103140253879,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-04-03,1.0140093154621406,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-04-04,1.0065115443466022,1.0231449342218863,1.008925962586168,1.0087969381104152
2001-04-05,1.0199271518171913,1.0224543113912865,1.008925962586168,1.0087969381104152
2001-04-06,1.0265241814164108,1.0290676870074569,1.008925962586168,1.0087969381104152
2001-04-09,1.0265241814164108,1.0290676870074569,1.008925962586168,1.0087969381104152
2001-04-10,1.0258312775939546,1.0290676870074569,1.008925962586168,1.0087969381104152
2001-04-11,1.027116033495817,1.0290676870074569,1.008925962586168,1.0087969381104152
2001-04-12,1.0287497312344482,1.0290676870074569,1.008925962586168,1.0087969381104152
2001-04-17,1.0287497312344482,1.0290676870074569,1.008925962586168,1.0087969381104152
2001-04-18,1.0287497312344482,1.0290676870074569,1.008925962586168,1.0087969381104152
2001-04-19,1.0287497312344482,1.0290676870074569,1.008925962586168,1.0087969381104152
2001-04-20,1.0287497312344482,1.0290676870074569,1.0082449375614224,1.0081160001771907
2001-04-23,1.0273609190972817,1.028373066318727,1.0154145273851247,1.0152846731322598
2001-04-24,1.041578423997557,1.03617581338454,1.0231189519598565,1.0229881124420874
2001-04-25,1.041578423997557,1.03617581338454,1.0231189519598565,1.0229881124420874
2001-04-26,1.0408753585613586,1.0354763947105055,1.0231189519598565,1.0229881124420874
2001-04-27,1.0401727676943298,1.0293807561614663,1.0231189519598565,1.0229881124420874
2001-04-30,1.0390890848594783,1.0290635315378567,1.0231189519598565,1.0229881124420874
